File Name,HR Size (W x H),LR Size (W x H),Degrade Factor (x),SR_0.5M,SR_0.5M_res,SR_0.5M_n,REFINED,REFINED_res,REFINED_n,res_0.5M,res_0.5M_res,res_0.5M_n
4xSatSR_00037,3000x3000,750x750,4,SR05M_4xSatSR_00037.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00037.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00038,3000x3000,750x750,4,SR05M_4xSatSR_00038.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00038.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00039,3000x3000,750x750,4,SR05M_4xSatSR_00039.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00039.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00040,3000x3000,750x750,4,SR05M_4xSatSR_00040.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00040.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00041,3000x3000,750x750,4,SR05M_4xSatSR_00041.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00041.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00042,3000x3000,750x750,4,SR05M_4xSatSR_00042.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00042.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00043,3000x3000,750x750,4,SR05M_4xSatSR_00043.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00043.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00044,3000x3000,750x750,4,SR05M_4xSatSR_00044.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00044.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00045,3000x3000,750x750,4,SR05M_4xSatSR_00045.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00045.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00046,3000x3000,750x750,4,SR05M_4xSatSR_00046.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00046.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00047,3000x3000,750x750,4,SR05M_4xSatSR_00047.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00047.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00048,3000x3000,750x750,4,SR05M_4xSatSR_00048.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00048.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00049,3000x3000,750x750,4,SR05M_4xSatSR_00049.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00049.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00050,3000x3000,750x750,4,SR05M_4xSatSR_00050.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00050.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00051,3000x3000,750x750,4,SR05M_4xSatSR_00051.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00051.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00052,3000x3000,750x750,4,SR05M_4xSatSR_00052.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00052.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00053,3000x3000,750x750,4,SR05M_4xSatSR_00053.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00053.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00054,3000x3000,750x750,4,SR05M_4xSatSR_00054.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00054.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00055,3000x3000,750x750,4,SR05M_4xSatSR_00055.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00055.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00056,3000x3000,750x750,4,SR05M_4xSatSR_00056.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00056.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00058,3000x3000,750x750,4,SR05M_4xSatSR_00058.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00058.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00059,3000x3000,750x750,4,SR05M_4xSatSR_00059.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00059.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00061,3000x3000,750x750,4,SR05M_4xSatSR_00061.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00061.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00062,3000x3000,750x750,4,SR05M_4xSatSR_00062.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00062.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00063,3000x3000,750x750,4,SR05M_4xSatSR_00063.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00063.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00064,3000x3000,750x750,4,SR05M_4xSatSR_00064.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00064.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00065,3000x3000,750x750,4,SR05M_4xSatSR_00065.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00065.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00066,3000x3000,750x750,4,SR05M_4xSatSR_00066.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00066.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00067,3000x3000,750x750,4,SR05M_4xSatSR_00067.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00067.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00068,3000x3000,750x750,4,SR05M_4xSatSR_00068.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00068.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00069,3000x3000,750x750,4,SR05M_4xSatSR_00069.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00069.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00070,3000x3000,750x750,4,SR05M_4xSatSR_00070.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00070.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00071,3000x3000,750x750,4,SR05M_4xSatSR_00071.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00071.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00072,3000x3000,750x750,4,SR05M_4xSatSR_00072.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00072.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00073,3000x3000,750x750,4,SR05M_4xSatSR_00073.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00073.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00074,3000x3000,750x750,4,SR05M_4xSatSR_00074.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00074.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00075,3000x3000,750x750,4,SR05M_4xSatSR_00075.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00075.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00076,3000x3000,750x750,4,SR05M_4xSatSR_00076.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00076.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00078,3000x3000,750x750,4,SR05M_4xSatSR_00078.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00078.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00079,3000x3000,750x750,4,SR05M_4xSatSR_00079.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00079.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00081,3000x3000,750x750,4,SR05M_4xSatSR_00081.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00081.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00082,3000x3000,750x750,4,SR05M_4xSatSR_00082.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00082.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00083,3000x3000,750x750,4,SR05M_4xSatSR_00083.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00083.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00084,3000x3000,750x750,4,SR05M_4xSatSR_00084.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00084.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00085,3000x3000,750x750,4,SR05M_4xSatSR_00085.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00085.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00086,3000x3000,750x750,4,SR05M_4xSatSR_00086.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00086.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00087,3000x3000,750x750,4,SR05M_4xSatSR_00087.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00087.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00088,3000x3000,750x750,4,SR05M_4xSatSR_00088.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00088.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00089,3000x3000,750x750,4,SR05M_4xSatSR_00089.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00089.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00090,3000x3000,750x750,4,SR05M_4xSatSR_00090.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00090.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00091,3000x3000,750x750,4,SR05M_4xSatSR_00091.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00091.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00092,3000x3000,750x750,4,SR05M_4xSatSR_00092.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00092.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00093,3000x3000,750x750,4,SR05M_4xSatSR_00093.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00093.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00094,3000x3000,750x750,4,SR05M_4xSatSR_00094.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00094.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00095,3000x3000,750x750,4,SR05M_4xSatSR_00095.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00095.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00096,3000x3000,750x750,4,SR05M_4xSatSR_00096.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00096.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00097,3000x3000,750x750,4,SR05M_4xSatSR_00097.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00097.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00098,3000x3000,750x750,4,SR05M_4xSatSR_00098.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00098.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00099,3000x3000,750x750,4,SR05M_4xSatSR_00099.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00099.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00100,3000x3000,750x750,4,SR05M_4xSatSR_00100.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00100.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00101,3000x3000,750x750,4,SR05M_4xSatSR_00101.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00101.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00102,3000x3000,750x750,4,SR05M_4xSatSR_00102.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00102.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00103,3000x3000,750x750,4,SR05M_4xSatSR_00103.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00103.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00104,3000x3000,750x750,4,SR05M_4xSatSR_00104.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00104.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00105,3000x3000,750x750,4,SR05M_4xSatSR_00105.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00105.png,3000x3000,4.0,N/A,N/A,
4xSatSR_00106,3000x3000,750x750,4,SR05M_4xSatSR_00106.png,3000x3000,4.0,Refined_SR05M_4xSatSR_00106.png,3000x3000,4.0,N/A,N/A,
